leanprover-community__sphere-eversion	920	310
leanprover-community__tutorials4	64	36
leanprover-cookbook__lean-metaprogramming-recipes	1	240
leanprover__comparator	35	125
leanprover__cslib	2148	1367
leanprover__doc-gen4	0	431
leanprover__hex-bareiss	90	36
leanprover__hex-bareiss-mathlib	66	6
leanprover__hex-basic	79	27
leanprover__hex-determinant	455	54
leanprover__hex-determinant-mathlib	136	16
leanprover__hex-gram-schmidt	416	78
leanprover__hex-gram-schmidt-mathlib	157	16
leanprover__hex-lll	39	79
leanprover__hex-lll-mathlib	126	13
leanprover__hex-matrix	353	119
leanprover__hex-matrix-mathlib	36	19
leanprover__hex-row-reduce	131	30
leanprover__hex-row-reduce-mathlib	11	0
leanprover__human-eval-lean	667	680
leanprover__KLR	153	2465
leanprover__lean-eval	1091	2020
leanprover__lean4-cli	0	15
leanprover__lean4checker	6	31
leanprover__lean4export	0	74
leanprover__leanbv	7	27
leanprover__LeanInk	169	202
leanprover__leansat	1308	578
leanprover__leansqlite	0	369
leanprover__LeroyCompilerVerificationCourse	114	114
leanprover__LNSym	671	1696
leanprover__lp-backend-soplex-ffi	0	16
leanprover__nerodia	62	617
leanprover__Pantograph	24	620
leanprover__reference-manual	238	1829
leanprover__SampCert	538	304
leanprover__SHerLOC	0	185
leanprover__sos	45	296
leanprover__subverso	11	555
leanprover__TenCert	0	3
leanprover__TensorLib	16	563
leanprover__verso	93	2932
leanprover__verso-slides	5	383
leanprover__verso-web-components	0	199
leansolving__leancsp	716	801
LeastAuthority__STIR	15	37
lecopivo__lean4-karray	0	55
lecopivo__LeanBLAS	2	135
lecopivo__SciLean	1975	3196
lenianiva__Prismriver	52	276
leonardoalt__evm-smith	458	218
lf-lang__reactor-model	354	213
LieLean__LowDimSolvClassification	193	133
lightward__foam	1055	514
lindy-labs__aegis	12	450
lindy-labs__corelib_verification	103	44
lindy-labs__wadray_verification	106	60
Linyxus__capless-lean	443	229
LionSR__TNLean	12507	3769
loefflerd__ModularFormDimensions	22	21
loganrjmurphy__LeanEuclid	206	258
logical-intelligence__proofs	166	18
lua-vr__pointwise-birkhoff	40	6
Luka-O__polya-enumeration-theorem	38	41
m4lvin__Gossip-in-Lean	127	95
m4lvin__lean4-pdl	1067	658
madvorak__chomsky	158	86
madvorak__duality	148	49
madvorak__fecssk	38	64
madvorak__lean4-koch	0	19
madvorak__read-lean	2	0
madvorak__thue	41	67
madvorak__vcsp	52	17
manuelpuebla__amo-lean	1524	2586
Maokami__vqc_in_lean	44	69
marcellop71__redis-lean	26	1292
marcusrossel__lean-egg	198	648
marcusrossel__lean-snakebird	2	87
marcusrossel__verified-compiler	27	20
mariainesdff__HassePrinciple	185	44
mariainesdff__LocalClassFieldTheory	571	372
mariovagomarzal__higher_category_theory	32	106
marozols__clifford-project	74	20
matematiflo__CompAssistedMath2024	177	108
matematiflo__SumsOfSquares	26	71
math-comp__math-comp	16124	3165
math-comp__odd-order	1062	197
math-inc__FormalQualBench	23	17
math-inc__FrontierMathOpen-Hypergraphs	340	130
math-inc__strongpnt	1077	44
math-xmum__AbstractAlgebra	76	129
math-xmum__Brouwer	267	141
math-xmum__gametheory	464	608
Mathias-Stout__Many-sorted-model-theory	1275	917
MathNetwork__OpenGA	230	96
matthunz__circuitlib	128	97
mattrobball__BridgelandStability	897	345
mccorvie__classification-of-surfaces	17399	6794
mdbrnowski__apportionmentlib	15	25
merely-true__merely-true	287	63
metamatematico__Metamatematico---Razonamiento-Formal-con-Lean	249	71
mgignoux__lean4-gl-coalgebras	206	225
mhuisi__Uniq	0	19
MichaelStollBayreuth__EulerProducts	35	4
MichaelStollBayreuth__Heights	425	139
MichaelStollBayreuth__LegendreQF	143	10
MichaelStollBayreuth__Weights	153	36
midspiral__LemmaScript	39	197
mirefek__lean-tactic-programming-guide	8	46
misaka10987__archimedes	28	21
mistralai__LeanstralSafeVerify	31	25
mitchell-horner__ErdosStoneSimonovitsKovariSosTuran	239	52
mkaratarakis__HopfieldNet	4189	2501
mo271__FormalBook	330	110
model-checking__rust-lean-models	375	186
MohanadAhmed__LeanMathSigProc	43	17
monsterkrampe__Existential-Rules-in-Lean	623	312
monsterkrampe__Possibly-Infinite-Trees	272	89
mortarsanjaya__IMOSLLean4	2380	462
mrdouglasny__bochner	226	53
mrdouglasny__gaussian-field	1433	538
mrdouglasny__hille-yosida	184	43
mrdouglasny__lgt	258	141
mrdouglasny__markov-semigroups	796	185
mrdouglasny__OSforGFF	702	223
mrdouglasny__pphi2	2132	693
mrdouglasny__seiberg-witten	348	139
mrdouglasny__spectral-positivity	50	10
mseri__BET	367	42
mtoohey31__tabular-types	631	161
namin__climber	22	54
namin__reviser	51	21
nasqret__fineqs	10	1
NathanHowell__lean-argparse	169	294
NaveenMaurya749__VerifiedVersionControl	71	144
NethermindEth__CertiPlonk	27	13
NethermindEth__CompPoly	64	125
NethermindEth__EVMYulLean	39	934
NethermindEth__FF_CVC5_Lean	4	125
NethermindEth__FVIntmax	274	181
NethermindEth__risczero-fv	2188	1126
NethermindEth__sp1-fv-poc	3	19
nielstron__langlib	6953	2737
nikhgarg__EconCSLib	26065	13735
niklasmohrin__lean-seminar-2023	116	93
nileshtrivedi__lean-detective	0	25
nimarasekh__Formalization-SoSe25	41	119
nomeata__lean-calcify	3	29
nomeata__lean-wf-induct	10	89
nomeata__lean4-memo-nat	37	40
nomeata__loogle	14	131
npflueger__demazure	516	178
NUS-Math-Formalization__CalculusSkeleton	125	17
NyxFoundation__tsl-formal-verification	11	30
objectionary__proof	92	52
ocfnash__LieClassification	8	8
ojhermann-org__pacioli	14	19
oliver-butterley__SpectralThm	81	80
oOo0oOo__LeanDoomed	0	46
oOo0oOo__LeanParanoia	134	153
oOo0oOo__LeanRPC	0	118
oOo0oOo__LeanSage	2	53
oOo0oOo__LeanSerde	0	291
opencompl__fp-lean	1067	535
opencompl__lean-mlir	28225	23950
optimisticexquisite__lean-rsa-project	14	54
optsuite__optlib	695	120
or4nge19__MCMC	642	127
or4nge19__NeuralNetworks	1042	474
Oscario0__LeanBisection	44	174
palladin__lean-eff	2	442
palladin__lean-linq	77	1153
palladin__lean-reducers	0	388
pandaman64__lean-regex	648	599
pandaman64__LeanToDo	0	40
pangenome__povu	194	621
pannous__hyper-lean	482	671
Paper-Proof__paperproof	103	65
parabamoghv__DashedMonoids	144	209
Parcly-Taxel__Redhill	237	44
PatrickMassot__checkdecls	0	1
PatrickMassot__GlimpseOfLean	173	163
PatrickMassot__verbose-lean4	29	429
Paul-Lez__PersistentDecomp	92	58
paulcadman__flappy	0	55
paulcadman__lean-effects	9	169
paulch42__lean-spec	2	328
pawelsberg__lean-directory-browser	0	19
peabrainiac__lean-catdg	665	614
pelicanhere__AutoGeneralization	89	236
PeterKementzey__graph-library-for-lean4	0	182
Philogy__remco-mul-verification	2	7
physicslib__physicslib4	689	271
PierreSenellart__descriptive-complexity	9433	6427
PierreSenellart__provenance-lean	975	631
pimpale__llm.lean	22	116
pitmonticone__ItaLean2025	20	48
pitmonticone__LeanCHANGE	8	22
pitmonticone__LeanInVienna2024	277	322
pitmonticone__QuadraticIntegers	236	101
PnVDiscord__software-foundations-lean	102	95
pnwamk__lean4-assert-command	0	5
Polarnova__ProbabilityApproximation	1524	301
postechsv__DMC-Logic	151	498
powdr-labs__apc-optimizer	1622	1638
predictable-machines__lean4-base64	0	36
predictable-machines__lean4-flow	0	229
predictable-machines__lean4-json-schema	46	156
Project-Navi__cd-formalization	46	46
Project-Navi__ordvec-formalization	297	150
project-numina__LeanGeo	473	85
project-numina__LeanTriathlon	356	151
ProofOfKeags__btc-verified	116	160
proofs-and-programs__proofs-and-programs-25	41	296
provables__special-numbers	55	10
QDU-Math-in-lean__elementary-number-theory	73	10
qualgebra__LeanToolkit	6	173
QudeLeap__Lean-QuantumAlg	7054	3872
rah4927__lean-dojo-mew	489	0
rahul3613__miniF2F-lean4	488	1
rahul3613__ProofNet-lean4	360	26
rami3l__PLFaLean	97	155
reilabs__proven-zk	122	66
remimimimimi__leansec	0	66
RemyDegenne__brownian-motion	1489	285
RemyDegenne__CLT	19	6
RemyDegenne__kolmogorov_extension4	38	10
RemyDegenne__testing-lower-bounds	1018	92
riccardobrasca__demontrer2025	98	62
riccardobrasca__flt3	58	19
riccardobrasca__kaplanski4	6	5
riccardobrasca__KummerCriterion	1807	477
riccardobrasca__LFTCM2024	97	60
riccardobrasca__Numbers	246	117
riccardobrasca__SDG	101	41
Rickerd1234__RelationalAlgebra	271	113
RikHeurter__LeanBscThesisFormalisation	18	17
RileyBetts__lean-grpc	103	940
RileyBetts__lean-tee	0	253
risc0__risc0-lean4	0	450
rkirov__category-theory-in-context-lean	29	77
rkirov__jordan_pick	3031	440
Robby955__FormalSLT	2582	1051
RobertoZunino__ITPCourse	100	288
rocq-community__corn	6939	2972
roed-math__gq2-lean	4515	1575
roos-j__lean-booleanfun	92	43
RSoulatIOHK__Pigment	0	93
runbikeswim__lean-semver	13	195
rupakm__leslie	2224	1730
ruplet__formalization-of-bounded-arithmetic	237	206
rzrn__ground_zero	0	108
SAIRcompetition__equational-theories-lean-stage2	0	6
samuelborza__IsTranscendentalPi	106	26
SamuelSchlesinger__complexitylib	10389	4023
SamuelSchlesinger__sensitivity-conjecture	41	16
SamuelSchlesinger__shannon-1948-formalization	60	30
schergen-org__Leansi	0	202
SchrodingerZhu__hashbrown4lean	0	60
SchrodingerZhu__lean-gccjit	0	83
sciencraft__LeanCat	126	182
scottnarmstrong__DeGiorgi	1195	250
sdiehl__kitty-cats	18	72
sdiehl__zero-to-qed	294	781
Seasawher__import-all	0	5
Seasawher__lean-book	0	1
Seasawher__mdgen	0	52
Seasawher__mk-exercise	14	33
ShangtongZhang__rl-theory-in-lean	208	155
shetzl__autth	4	6
Shilun-Allan-Li__tcslib	3086	1815
shosonoda__lean-math-note	19	140
ShouqiaoW__erdos	22347	7958
Shreyas4991__Algolean	341	337
Shreyas4991__DGAlgorithms	225	190
shunghsiyu__toy-verifier	5	51
siddhartha-gadgil__lean-loris	6	437
siddhartha-gadgil__LeanAide	565	2741
siddhartha-gadgil__LeanAideTools	0	107
siddhartha-gadgil__LeanLangur	120	229
siddhartha-gadgil__LeanLion	25	79
siddhartha-gadgil__MetaExamples	6	63
siddhartha-gadgil__Polylean	180	283
siddhartha-gadgil__proofs-and-programs-2023	34	161
siddhartha-gadgil__Saturn	59	165
singerng__steinberg-formalization	594	232
sinhp__displayed_categories	66	100
sinhp__HoTTLean	2263	1656
sinhp__LeanFibredCategories	182	279
sinhp__Poly	167	408
smmercuri__adele-ring_locally-compact	105	78
solana-foundation__leanprover-solanalib	73	160
somombo__formalized-quicksort	67	42
somombo__swaps-perm	20	9
sorrachai__FAA2025	247	293
sorrachai__GraphLib	938	518
SorryDB__LeanUtils	4	37
spitters__CatCrypt-core	2096	1393
SrGaabriel__lapis	0	2030
SrGaabriel__leaner	0	183
SrGaabriel__soma	16	4174
starkware-libs__formal-proofs	2531	2034
stat-lib__statlib	320	53
strata-org__specimen	3	1293
strata-org__Strata	2684	7007
succinctlabs__sp1-lean	1639	1398
sunblaze-ucb__verina	193	681
suomela__2-coloring-1-round	596	463
sven-manthe__A-formalization-of-Borel-determinacy-in-Lean	898	380
sysghent__learn-lean-riddles	41	119
T-Brick__ControlFlow	256	196
T-Brick__DateTime	2	152
T-Brick__lean-wasm	12	930
T-Brick__lean2wasm	0	6
T-Brick__Numbers	2	236
tani__literate-lean	0	9
TauCetiProject__TauCeti	53207	12467
TauCetiProject__TauCetiRoadmap	1940	2143
teorth__analysis	2693	1137
teorth__equational_theories	14300	2409
teorth__expdb	194	59
teorth__pfr	927	124
teorth__sendov	681	186
Th0rgal__morpho-verity	789	368
thefundamentaltheor3m__Sphere-Packing-Lean	1118	276
themathqueen__monlib4	2044	448
thorimur__skimmer	7	348
tim-br__LeanTest	0	82
Timeroot__ComputableReal	176	166
