url	directory	proof_assistant	transport	sync_group	discovered_via
https://github.com/Arthur742Ramos/Metatheory	reservoir-sources/Arthur742Ramos__Metatheory	lean	git	bulk	reservoir
https://github.com/arthurpaulino/FxyLang	reservoir-sources/arthurpaulino__FxyLang	lean	git	bulk	reservoir
https://github.com/arthurpaulino/LeanMusic	reservoir-sources/arthurpaulino__LeanMusic	lean	git	bulk	reservoir
https://github.com/artie2000/real_closed_field	reservoir-sources/artie2000__real_closed_field	lean	git	bulk	reservoir
https://github.com/astrainfinita/Algorithm	reservoir-sources/astrainfinita__Algorithm	lean	git	bulk	reservoir
https://github.com/atlas-computing-org/CoqLeanTranslation	reservoir-sources/atlas-computing-org__CoqLeanTranslation	lean	git	bulk	reservoir
https://github.com/ATOMSLab/LeanDimensionalAnalysis	reservoir-sources/ATOMSLab__LeanDimensionalAnalysis	lean	git	bulk	reservoir
https://github.com/ATOMSLab/LeanLJ	reservoir-sources/ATOMSLab__LeanLJ	lean	git	bulk	reservoir
https://github.com/atrieu/lean-cryptolib	reservoir-sources/atrieu__lean-cryptolib	lean	git	bulk	reservoir
https://github.com/auto-res/lean-rademacher	reservoir-sources/auto-res__lean-rademacher	lean	git	bulk	reservoir
https://github.com/avigad/lamr	avigad__lamr	lean	git	routine	registry
https://github.com/avigad/LeanSudoku	reservoir-sources/avigad__LeanSudoku	lean	git	bulk	reservoir
https://github.com/avigad/verification_demo	reservoir-sources/avigad__verification_demo	lean	git	bulk	reservoir
https://github.com/awodey/joyal	reservoir-sources/awodey__joyal	lean	git	bulk	reservoir
https://github.com/AxiomMath/AgreeToDisagree	reservoir-sources/AxiomMath__AgreeToDisagree	lean	git	bulk	reservoir
https://github.com/AxiomMath/dead-ends	reservoir-sources/AxiomMath__dead-ends	lean	git	bulk	reservoir
https://github.com/AxiomMath/fel-polynomial	reservoir-sources/AxiomMath__fel-polynomial	lean	git	bulk	reservoir
https://github.com/AxiomMath/lattice-triangle	reservoir-sources/AxiomMath__lattice-triangle	lean	git	bulk	reservoir
https://github.com/AxiomMath/partial-regularity	reservoir-sources/AxiomMath__partial-regularity	lean	git	bulk	reservoir
https://github.com/AxiomMath/PartitionPolynomial	reservoir-sources/AxiomMath__PartitionPolynomial	lean	git	bulk	reservoir
https://github.com/AxiomMath/Putnam2025	reservoir-sources/AxiomMath__Putnam2025	lean	git	bulk	reservoir
https://github.com/b-mehta/ABC-Exceptions	b-mehta__ABC-Exceptions	lean	git	routine	registry
https://github.com/b-mehta/AharoniKorman	reservoir-sources/b-mehta__AharoniKorman	lean	git	bulk	reservoir
https://github.com/b-mehta/formalising-mathematics-notes	reservoir-sources/b-mehta__formalising-mathematics-notes	lean	git	bulk	reservoir
https://github.com/b-mehta/PrimeCert	reservoir-sources/b-mehta__PrimeCert	lean	git	bulk	reservoir
https://github.com/Bacon-labs/tamago	reservoir-sources/Bacon-labs__tamago	lean	git	bulk	reservoir
https://github.com/Beneficial-AI-Foundation/curve25519-dalek-lean-verify	reservoir-sources/Beneficial-AI-Foundation__curve25519-dalek-lean-verify	lean	git	bulk	reservoir
https://github.com/Beneficial-AI-Foundation/FloatSpec	reservoir-sources/Beneficial-AI-Foundation__FloatSpec	lean	git	bulk	reservoir
https://github.com/Beneficial-AI-Foundation/NumpySpec	reservoir-sources/Beneficial-AI-Foundation__NumpySpec	lean	git	bulk	reservoir
https://github.com/Beneficial-AI-Foundation/PostQuantumeXtendedDiffieHellman-model	reservoir-sources/Beneficial-AI-Foundation__PostQuantumeXtendedDiffieHellman-model	lean	git	bulk	reservoir
https://github.com/Beneficial-AI-Foundation/vericoding	reservoir-sources/Beneficial-AI-Foundation__vericoding	lean	git	bulk	reservoir
https://github.com/bergmannjg/regex	reservoir-sources/bergmannjg__regex	lean	git	bulk	reservoir
https://github.com/bergmannjg/time	reservoir-sources/bergmannjg__time	lean	git	bulk	reservoir
https://github.com/Bergschaf/banach-tarski	reservoir-sources/Bergschaf__banach-tarski	lean	git	bulk	reservoir
https://github.com/Bergschaf/lean-banach-tarski	reservoir-sources/Bergschaf__lean-banach-tarski	lean	git	bulk	reservoir
https://github.com/Bergschaf/Localic-Caratheodory-Extensions	reservoir-sources/Bergschaf__Localic-Caratheodory-Extensions	lean	git	bulk	reservoir
https://github.com/bjoernkjoshanssen/interest	reservoir-sources/bjoernkjoshanssen__interest	lean	git	bulk	reservoir
https://github.com/bjoernkjoshanssen/math654	reservoir-sources/bjoernkjoshanssen__math654	lean	git	bulk	reservoir
https://github.com/bkase/verified-gpu	reservoir-sources/bkase__verified-gpu	lean	git	bulk	reservoir
https://github.com/BochaoKong/nullstellensatz	BochaoKong__nullstellensatz	lean	git	routine	registry
https://github.com/BoltonBailey/formal-snarks-project	reservoir-sources/BoltonBailey__formal-snarks-project	lean	git	bulk	reservoir
https://github.com/brettkoonce/lean4-mlir	reservoir-sources/brettkoonce__lean4-mlir	lean	git	bulk	reservoir
https://github.com/bridgekat/filter-game	reservoir-sources/bridgekat__filter-game	lean	git	bulk	reservoir
https://github.com/BRonen/sqlite-lean	reservoir-sources/BRonen__sqlite-lean	lean	git	bulk	reservoir
https://github.com/CAIMEOX/json-schema-lean	reservoir-sources/CAIMEOX__json-schema-lean	lean	git	bulk	reservoir
https://github.com/cameronfreer/exchangeability	reservoir-sources/cameronfreer__exchangeability	lean	git	bulk	reservoir
https://github.com/CarlKCarlK/range-set-blaze-lean	reservoir-sources/CarlKCarlK__range-set-blaze-lean	lean	git	bulk	reservoir
https://github.com/carlok/leanfrontier	carlok__leanfrontier	lean	git	routine	registry
https://github.com/cavargar/SHSLib	reservoir-sources/cavargar__SHSLib	lean	git	bulk	reservoir
https://github.com/CBirkbeck/AINTLIB	CBirkbeck__AINTLIB	lean	git	routine	registry
https://github.com/CBirkbeck/DirichletNonvanishing	CBirkbeck__DirichletNonvanishing	lean	git	routine	registry
https://github.com/CBirkbeck/LeanBridge	CBirkbeck__LeanBridge	lean	git	routine	registry
